news_headline,news_article,news_category,full_text,clean_text
"There is fire in the belly, not playing for the sake of it: Yuvraj","All-rounder Yuvraj Singh, who was bought by Mumbai Indians for his base price of ₹1 crore after going unsold in the first round of IPL 2019 auction, said he is not playing for the sake of playing. ""Hopefully...I'll be able to deliver. There is fire in the belly, I am keen to be competitive. The hunger is there,"" he added. ",sports,"There is fire in the belly, not playing for the sake of it: Yuvraj. All-rounder Yuvraj Singh, who was bought by Mumbai Indians for his base price of ₹1 crore after going unsold in the first round of IPL 2019 auction, said he is not playing for the sake of playing. ""Hopefully...I'll be able to deliver. There is fire in the belly, I am keen to be competitive. The hunger is there,"" he added. ",fire belly not play sake yuvraj round yuvraj singh buy mumbai indian base price crore go unsold first round ipl auction say not play sake playing hopefully able deliver fire belly keen competitive hunger add
"3rd umpire gives batsman out, fielding team calls him back to bat",Brisbane Heat's James Pattinson was declared out by the third umpire despite appearing to be in his crease in the first Big Bash League 8 match against Adelaide Strikers on Wednesday. The 28-year-old started walking from the field before being called back by his opponents. Strikers' wicketkeeper Alex Carey later said they didn't think it was out after seeing replays.,sports,"3rd umpire gives batsman out, fielding team calls him back to bat. Brisbane Heat's James Pattinson was declared out by the third umpire despite appearing to be in his crease in the first Big Bash League 8 match against Adelaide Strikers on Wednesday. The 28-year-old started walking from the field before being called back by his opponents. Strikers' wicketkeeper Alex Carey later said they didn't think it was out after seeing replays.",rd umpire give batsman fielding team call back bat brisbane heat jame pattinson declare third umpire despite appear crease first big bash league match adelaide striker wednesday year old start walk field call back opponent striker wicketkeeper alex carey later say not think see replay
Always dreamt of clicking pic with Kohli: IPL's youngest crorepati,"Prayas Ray Barman, the youngest crorepati in IPL aged 16, has said he always had a dream to click a photo with Virat Kohli. ""I've tried a lot but didn't get any opportunity. Now that I would be sharing the dressing room with my hero is just unbelievable,"" he added. Barman was bought by RCB for ₹1.5 crore on Tuesday.",sports,"Always dreamt of clicking pic with Kohli: IPL's youngest crorepati. Prayas Ray Barman, the youngest crorepati in IPL aged 16, has said he always had a dream to click a photo with Virat Kohli. ""I've tried a lot but didn't get any opportunity. Now that I would be sharing the dressing room with my hero is just unbelievable,"" he added. Barman was bought by RCB for ₹1.5 crore on Tuesday.",always dream click pic kohli ipls young crorepati prayas ray barman young crorepati ipl age say always dream click photo virat kohli try lot not get opportunity would share dressing room hero unbelievable add barman buy rcb crore tuesday
Dhoni is the greatest cricketer India has ever produced: Kapil Dev ,"India's 1983 World Cup-winning captain Kapil Dev has said that MS Dhoni is the greatest cricketer India has ever produced. ""[Dhoni] played 90 Tests and then said let's give a chance to the youngsters... Hats off to him for putting his country before himself,"" Kapil added. Dhoni is the only cricketer to win all the three ICC tournaments as captain.",sports,"Dhoni is the greatest cricketer India has ever produced: Kapil Dev . India's 1983 World Cup-winning captain Kapil Dev has said that MS Dhoni is the greatest cricketer India has ever produced. ""[Dhoni] played 90 Tests and then said let's give a chance to the youngsters... Hats off to him for putting his country before himself,"" Kapil added. Dhoni is the only cricketer to win all the three ICC tournaments as captain.",dhoni great cricketer india ever produce kapil dev indias world cup win captain kapil dev say ms dhoni great cricketer india ever produce [ dhoni ] play test say let us give chance youngster hat put country kapil add dhoni cricketer win three icc tournament captain
"At ₹1 crore, player like Yuvraj is a steal for MI: Akash Ambani","After buying Yuvraj Singh for his base price of ₹1 crore at the IPL 2019 auction, Mumbai Indians owner Akash Ambani said, ""To be honest...we had budgeted a lot more for Yuvraj and Malinga."" He added, ""At ₹1 crore, a player like Yuvraj is probably the (biggest) steal of 12...years. He has won every trophy there is to be won.""",sports,"At ₹1 crore, player like Yuvraj is a steal for MI: Akash Ambani. After buying Yuvraj Singh for his base price of ₹1 crore at the IPL 2019 auction, Mumbai Indians owner Akash Ambani said, ""To be honest...we had budgeted a lot more for Yuvraj and Malinga."" He added, ""At ₹1 crore, a player like Yuvraj is probably the (biggest) steal of 12...years. He has won every trophy there is to be won.""",crore player like yuvraj steal mi akash ambani buy yuvraj singh base price crore ipl auction mumbai indian owner akash ambani say honest budget lot yuvraj malinga add crore player like yuvraj probably big steal year win every trophy win
Who were the biggest gainers in the IPL 2019 auction?,"In the IPL 2019 auction, uncapped Tamil Nadu spinner Varun Chakravarthy was bought by KXIP for ₹8.4 crore, 42 times his base price of ₹20 lakh. Mumbai all-rounder Shivam Dube's selling price to base price ratio was the second-highest as he fetched ₹5 crore, 25 times his base price. Prabhsimran Singh came in third, fetching ₹4.8 crore in the auction. ",sports,"Who were the biggest gainers in the IPL 2019 auction?. In the IPL 2019 auction, uncapped Tamil Nadu spinner Varun Chakravarthy was bought by KXIP for ₹8.4 crore, 42 times his base price of ₹20 lakh. Mumbai all-rounder Shivam Dube's selling price to base price ratio was the second-highest as he fetched ₹5 crore, 25 times his base price. Prabhsimran Singh came in third, fetching ₹4.8 crore in the auction. ",big gainer ipl auction ipl auction uncapped tamil nadu spinner varun chakravarthy buy kxip crore time base price lakh mumbai round shivam dube sell price base price ratio second high fetch crore time base price prabhsimran singh come third fetch crore auction
Kapil Dev would have gone for ₹25 crore in IPL auction: Gavaskar,"Ex-India captain Sunil Gavaskar said that 1983 World Cup-winning captain Kapil Dev would've been sold for ₹25 crore in the IPL auction if he was playing. Talking about Kapil's unbeaten knock of 175 runs in the 1983 World Cup match against Zimbabwe, Gavaskar said, ""It is the greatest knock in ODI history I've seen as a player, as a commentator.""",sports,"Kapil Dev would have gone for ₹25 crore in IPL auction: Gavaskar. Ex-India captain Sunil Gavaskar said that 1983 World Cup-winning captain Kapil Dev would've been sold for ₹25 crore in the IPL auction if he was playing. Talking about Kapil's unbeaten knock of 175 runs in the 1983 World Cup match against Zimbabwe, Gavaskar said, ""It is the greatest knock in ODI history I've seen as a player, as a commentator.""",kapil dev would go crore ipl auction gavaskar ex india captain sunil gavaskar say world cup win captain kapil dev would sell crore ipl auction play talk kapil unbeaten knock run world cup match zimbabwe gavaskar say great knock odi history see player commentator
Player who won Man Utd CL in 1999 named club's caretaker manager,"Ex-Norway forward Ole Gunnar Solskjær, who scored in the 1999 Champions League final's injury time to help Manchester United win the treble, has been appointed as the club's caretaker manager. The 45-year-old replaces José Mourinho, who was fired after the club suffered its worst start to a Premier League season. He has been appointed until the end of the season.",sports,"Player who won Man Utd CL in 1999 named club's caretaker manager. Ex-Norway forward Ole Gunnar Solskjær, who scored in the 1999 Champions League final's injury time to help Manchester United win the treble, has been appointed as the club's caretaker manager. The 45-year-old replaces José Mourinho, who was fired after the club suffered its worst start to a Premier League season. He has been appointed until the end of the season.",player win man utd cl name club caretaker manager ex norway forward ole gunnar solskjr score champion league final injury time help manchester unite win treble appoint club caretaker manager year old replace jose mourinho fire club suffer bad start premier league season appoint end season
Matthew Hayden flips bat in 1st BBL 8 match as coin toss replaced,"Former Australia batsman Matthew Hayden did the honours of flipping the bat in the first match of the Big Bash League's eighth edition on Wednesday. The 47-year-old flipped the bat as Adelaide Strikers' captain Colin Ingram called 'roofs' and won the toss. Notably, customised bats have been made with 'roofs' and 'flats' for toss purpose in the BBL.",sports,"Matthew Hayden flips bat in 1st BBL 8 match as coin toss replaced. Former Australia batsman Matthew Hayden did the honours of flipping the bat in the first match of the Big Bash League's eighth edition on Wednesday. The 47-year-old flipped the bat as Adelaide Strikers' captain Colin Ingram called 'roofs' and won the toss. Notably, customised bats have been made with 'roofs' and 'flats' for toss purpose in the BBL.",matthew hayden flip bat st bbl match coin toss replace former australia batsman matthew hayden honour flip bat first match big bash league eighth edition wednesday year old flip bat adelaide striker captain colin ingram call roof win toss notably customised bat make roof flat toss purpose bbl
"We aren't saving Yuvraj's career, always wanted him: Mumbai Indians","After buying all-rounder Yuvraj Singh at his base price of ₹1 crore in the IPL 2019 auction, Mumbai Indians owner Akash Ambani said that they are not saving Yuvraj Singh's career. ""We always wanted Yuvraj. We never had an opportunity because of our purse. It was relieving that we got him at the price that we did,"" he added.",sports,"We aren't saving Yuvraj's career, always wanted him: Mumbai Indians. After buying all-rounder Yuvraj Singh at his base price of ₹1 crore in the IPL 2019 auction, Mumbai Indians owner Akash Ambani said that they are not saving Yuvraj Singh's career. ""We always wanted Yuvraj. We never had an opportunity because of our purse. It was relieving that we got him at the price that we did,"" he added.",not save yuvrajs career always want mumbai indian buy round yuvraj singh base price crore ipl auction mumbai indian owner akash ambani say not save yuvraj singh career always want yuvraj never opportunity purse relieve get price add
Delhi court issues bailable warrant against Gautam Gambhir,"A Delhi court has issued a bailable warrant against ex-cricketer Gautam Gambhir for not appearing before it despite repeated summons in a case related to real estate fraud. Gambhir was brand ambassador of a housing project, which didn't take off despite buyers paying to book flats in 2011. The complainants claimed ""Gambhir helped in attracting and inviting buyers to invest"".",sports,"Delhi court issues bailable warrant against Gautam Gambhir. A Delhi court has issued a bailable warrant against ex-cricketer Gautam Gambhir for not appearing before it despite repeated summons in a case related to real estate fraud. Gambhir was brand ambassador of a housing project, which didn't take off despite buyers paying to book flats in 2011. The complainants claimed ""Gambhir helped in attracting and inviting buyers to invest"".",delhi court issue bailable warrant gautam gambhir delhi court issue bailable warrant ex cricketer gautam gambhir not appear despite repeat summon case relate real estate fraud gambhir brand ambassador housing project not take despite buyer pay book flat complainant claim gambhir help attract invite buyer invest
"No matter what people say, Kohli should stick to aggression: Zaheer","Mumbai Indians' Director of Cricket Operations, Zaheer Khan, has said Virat Kohli should stick to his aggression. ""Kohli should stick to what he knows best....You can't move away from your success formula. It doesn't matter what others are saying (about Kohli),"" the former India pacer said. Kohli was involved in banter with Australia captain Tim Paine in the Perth Test.",sports,"No matter what people say, Kohli should stick to aggression: Zaheer. Mumbai Indians' Director of Cricket Operations, Zaheer Khan, has said Virat Kohli should stick to his aggression. ""Kohli should stick to what he knows best....You can't move away from your success formula. It doesn't matter what others are saying (about Kohli),"" the former India pacer said. Kohli was involved in banter with Australia captain Tim Paine in the Perth Test.",no matter people say kohli stick aggression zaheer mumbai indian director cricket operation zaheer khan say virat kohli stick aggression kohli stick know good not move away success formula not matter say kohli former india pacer say kohli involve banter australia captain tim paine perth test
Will learn from Virat Kohli sir: Player sold to RCB for ₹5 cr,"All-rounder Shivam Dube, who has been bought by RCB for ₹5 crore, said, ""Virat sir is one of the legends right now. I want to learn from him on how to keep consistently performing."" Dube, who hit five sixes in five deliveries against Baroda in a Ranji Trophy match on Monday, is the second costliest uncapped purchase of the auction.",sports,"Will learn from Virat Kohli sir: Player sold to RCB for ₹5 cr. All-rounder Shivam Dube, who has been bought by RCB for ₹5 crore, said, ""Virat sir is one of the legends right now. I want to learn from him on how to keep consistently performing."" Dube, who hit five sixes in five deliveries against Baroda in a Ranji Trophy match on Monday, is the second costliest uncapped purchase of the auction.",learn virat kohli sir player sell rcb cr round shivam dube buy rcb crore say virat sir one legend right want learn keep consistently perform dube hit five six five delivery baroda ranji trophy match monday second costly uncapped purchase auction
"Indian fan tries to troll Johnson over IPL, gets trolled back","An Indian fan tried to troll ex-Australia pacer Mitchell Johnson by calling him ""silly unsold"" on Twitter, thinking the bowler had gone unsold in the IPL 2019 auction. However, the retired pacer, who had not registered his name for the auction, trolled the fan back by writing, ""Hello champion, just a reminder, I retired from all cricket earlier this year.""",sports,"Indian fan tries to troll Johnson over IPL, gets trolled back. An Indian fan tried to troll ex-Australia pacer Mitchell Johnson by calling him ""silly unsold"" on Twitter, thinking the bowler had gone unsold in the IPL 2019 auction. However, the retired pacer, who had not registered his name for the auction, trolled the fan back by writing, ""Hello champion, just a reminder, I retired from all cricket earlier this year.""",indian fan try troll johnson ipl get troll back indian fan try troll ex australia pacer mitchell johnson call silly unsold twitter think bowler go unsold ipl auction however retire pacer not register name auction troll fan back writing hello champion reminder retire cricket earlier year
"Trump orders withdrawal of US troops from Syria, claims IS defeated","US President Donald Trump has ordered the withdrawal of US troops from Syria, according to an official. The US President on Wednesday claimed that the Islamic State militant group has been defeated in Syria, adding it was the ""only reason"" for having US troops there during his presidency. More than 2,000 US troops are believed to be stationed in Syria.",world,"Trump orders withdrawal of US troops from Syria, claims IS defeated. US President Donald Trump has ordered the withdrawal of US troops from Syria, according to an official. The US President on Wednesday claimed that the Islamic State militant group has been defeated in Syria, adding it was the ""only reason"" for having US troops there during his presidency. More than 2,000 US troops are believed to be stationed in Syria.",trump order withdrawal us troop syria claim defeat us president donald trump order withdrawal us troop syria accord official us president wednesday claim islamic state militant group defeat syria add reason us troop presidency us troop believe station syria
Blind creature that buries head in sand named after Donald Trump,"A newly discovered blind and burrowing amphibian is to be officially named 'Dermophis donaldtrumpi', after US President Donald Trump. The name was chosen by the boss of a sustainable building materials company named EnviroBuild, who paid $25,000 (nearly ₹17.6 lakh) at an auction for the right. This comes after Trump denied a climate change report published by the US government.",world,"Blind creature that buries head in sand named after Donald Trump. A newly discovered blind and burrowing amphibian is to be officially named 'Dermophis donaldtrumpi', after US President Donald Trump. The name was chosen by the boss of a sustainable building materials company named EnviroBuild, who paid $25,000 (nearly ₹17.6 lakh) at an auction for the right. This comes after Trump denied a climate change report published by the US government.",blind creature bury head sand name donald trump newly discover blind burrow amphibian officially name dermophis donaldtrumpi us president donald trump name choose boss sustainable building material company name envirobuild pay nearly lakh auction right come trump deny climate change report publish us government
"Pak journalist sits on donkey while reporting, video goes viral","A viral video shows Pakistani journalist Amin Hafeez sitting on a donkey while reporting about the country's growing donkey population and interviewing donkey owners at a donkey hospital in Lahore. Hafeez, known for his unconventional style of reporting, has earlier ""interviewed"" a buffalo about its experience climbing a pedestrian bridge and asked a goat, ""Do you speak English?""",world,"Pak journalist sits on donkey while reporting, video goes viral. A viral video shows Pakistani journalist Amin Hafeez sitting on a donkey while reporting about the country's growing donkey population and interviewing donkey owners at a donkey hospital in Lahore. Hafeez, known for his unconventional style of reporting, has earlier ""interviewed"" a buffalo about its experience climbing a pedestrian bridge and asked a goat, ""Do you speak English?""",pak journalist sit donkey report video go viral viral video show pakistani journalist amin hafeez sit donkey report country grow donkey population interview donkey owner donkey hospital lahore hafeez know unconventional style reporting earlier interview buffalo experience climb pedestrian bridge ask goat speak english
Harsh Vardhan Shringla appointed new Indian Ambassador to US,"Harsh Vardhan Shringla, presently India's High Commissioner to  Bangladesh, has been appointed as the new Indian Ambassador to the US. Shringla is an Indian Foreign Service (IFS) officer of 1984 batch and will succeed Navtej Sarna who'll retire by the end of the year. Prior to his appointment as High Commissioner to  Bangladesh, Shringla served as India's Ambassador to Thailand.",world,"Harsh Vardhan Shringla appointed new Indian Ambassador to US. Harsh Vardhan Shringla, presently India's High Commissioner to  Bangladesh, has been appointed as the new Indian Ambassador to the US. Shringla is an Indian Foreign Service (IFS) officer of 1984 batch and will succeed Navtej Sarna who'll retire by the end of the year. Prior to his appointment as High Commissioner to  Bangladesh, Shringla served as India's Ambassador to Thailand.",harsh vardhan shringla appoint new indian ambassador us harsh vardhan shringla presently india high commissioner bangladesh appoint new indian ambassador us shringla indian foreign service ifs officer batch succeed navtej sarna retire end year prior appointment high commissioner bangladesh shringla serve indias ambassador thailand
"Jinnah House in Mumbai belongs to us, won't let India take it: Pak","After External Affairs Minister Sushma Swaraj revealed the ministry is in process of transferring Jinnah House in Mumbai to its name, Pakistan's Foreign Office asserted, ""We have a claim over [the house] and we don't accept that anyone tries to take custody of it."" ""They (Indians) have already accepted it belongs to Pakistan. We have record of it,"" it added.",world,"Jinnah House in Mumbai belongs to us, won't let India take it: Pak. After External Affairs Minister Sushma Swaraj revealed the ministry is in process of transferring Jinnah House in Mumbai to its name, Pakistan's Foreign Office asserted, ""We have a claim over [the house] and we don't accept that anyone tries to take custody of it."" ""They (Indians) have already accepted it belongs to Pakistan. We have record of it,"" it added.",jinnah house mumbai belong us not let india take pak external affair minister sushma swaraj reveal ministry process transfer jinnah house mumbai name pakistan foreign office assert claim [ house ] not accept anyone try take custody indians already accept belong pakistan record add
ISIS kills 700 prisoners in Syria: Report,"The Islamic State has killed more than 700 prisoners in eastern Syria, the Syrian Observatory for Human Rights said. The prisoners were among 1,350 civilians and fighters held hostage in territory near the Iraqi border. At least 5,000 ISIS militants are there in the region, according to the Syrian Democratic Forces, led by the Kurdish YPG militia.",world,"ISIS kills 700 prisoners in Syria: Report. The Islamic State has killed more than 700 prisoners in eastern Syria, the Syrian Observatory for Human Rights said. The prisoners were among 1,350 civilians and fighters held hostage in territory near the Iraqi border. At least 5,000 ISIS militants are there in the region, according to the Syrian Democratic Forces, led by the Kurdish YPG militia.",isis kill prisoner syria report islamic state kill prisoner eastern syria syrian observatory human right say prisoner among civilian fighter hold hostage territory near iraqi border least isis militant region accord syrian democratic force lead kurdish ypg militia
"Man crashes car into 3 Ferraris, strangers help him pay ₹2.8 cr bill","A 20-year-old Taiwanese restaurant worker named Lin Chin-hsiang, who fell asleep in his Mitsubishi car and crashed it into three Ferraris, is being helped by many strangers to pay the nearly ₹2.8 crore repairs bill. People began sending him donations after the crash made headlines across Taiwan. Police said he hadn't been drinking alcohol and had a clean driving record.",world,"Man crashes car into 3 Ferraris, strangers help him pay ₹2.8 cr bill. A 20-year-old Taiwanese restaurant worker named Lin Chin-hsiang, who fell asleep in his Mitsubishi car and crashed it into three Ferraris, is being helped by many strangers to pay the nearly ₹2.8 crore repairs bill. People began sending him donations after the crash made headlines across Taiwan. Police said he hadn't been drinking alcohol and had a clean driving record.",man crash car ferraris stranger help pay cr bill year old taiwanese restaurant worker name lin chin hsiang fall asleep mitsubishi car crash three ferraris help many stranger pay nearly crore repair bill people begin send donation crash make headline across taiwan police say not drink alcohol clean driving record
1st 'man-free' music festival found guilty of discrimination,"The Statement festival, claimed to be the world's first major 'cis man-free' music festival by its organisers, has been found guilty of discrimination. No male artistes performed at the event which was held in Sweden earlier this year. The festival was organised following reports of sexual offences against women at other events in the country last year.",world,"1st 'man-free' music festival found guilty of discrimination. The Statement festival, claimed to be the world's first major 'cis man-free' music festival by its organisers, has been found guilty of discrimination. No male artistes performed at the event which was held in Sweden earlier this year. The festival was organised following reports of sexual offences against women at other events in the country last year.",st man free music festival find guilty discrimination statement festival claim world first major cis man free music festival organiser find guilty discrimination no male artiste perform event hold sweden earlier year festival organise follow report sexual offence woman event country last year
Obama surprises kids at children's hospital dressed as Santa Claus,"Former US President Barack Obama paid a surprise visit to a children's hospital in US' capital Washington dressed as Santa Claus on Wednesday. The 44th President greeted individual patients in their rooms and delivered Christmas gifts to them. ""Your surprise warmed our hallways and put smiles on everyone's faces!"" Children's National hospital tweeted.",world,"Obama surprises kids at children's hospital dressed as Santa Claus. Former US President Barack Obama paid a surprise visit to a children's hospital in US' capital Washington dressed as Santa Claus on Wednesday. The 44th President greeted individual patients in their rooms and delivered Christmas gifts to them. ""Your surprise warmed our hallways and put smiles on everyone's faces!"" Children's National hospital tweeted.",obama surprise kid children hospital dress santa claus former us president barack obama pay surprise visit children hospital us capital washington dress santa claus wednesday th president greet individual patient room deliver christma gift surprise warm hallway put smile everyone face children national hospital tweet
First-ever jail till death sentence issued in Nepal,"A Nepal court has sentenced a 27-year-old man convicted of the rape and murder of a 10-year-old girl, to life imprisonment. The convict, who was the victim's neighbour, confessed to the crime during interrogation. This is the first time a Nepal court issued the life imprisonment till death sentence by invoking Section 41 of the new penal code.",world,"First-ever jail till death sentence issued in Nepal. A Nepal court has sentenced a 27-year-old man convicted of the rape and murder of a 10-year-old girl, to life imprisonment. The convict, who was the victim's neighbour, confessed to the crime during interrogation. This is the first time a Nepal court issued the life imprisonment till death sentence by invoking Section 41 of the new penal code.",first ever jail till death sentence issue nepal nepal court sentence year old man convict rape murder year old girl life imprisonment convict victim neighbour confess crime interrogation first time nepal court issue life imprisonment till death sentence invoke section new penal code
US doesn't want to be 'policeman of the Middle East': Trump,"The US doesn't want to be the ""policeman of the Middle East"", US President Donald Trump said on Thursday following his decision to withdraw all American troops from Syria. The US gets nothing ""but (spends) precious lives and trillions of dollars protecting others who, in almost all cases, do not appreciate"" what it does, Trump tweeted.",world,"US doesn't want to be 'policeman of the Middle East': Trump. The US doesn't want to be the ""policeman of the Middle East"", US President Donald Trump said on Thursday following his decision to withdraw all American troops from Syria. The US gets nothing ""but (spends) precious lives and trillions of dollars protecting others who, in almost all cases, do not appreciate"" what it does, Trump tweeted.",us not want policeman middle east trump us not want policeman middle east us president donald trump say thursday follow decision withdraw american troop syria us get nothing spend precious life trillion dollar protect almost case not appreciate trump tweet
Trump panel recommends guns in schools to counter shootings,"The Federal Commission on School Safety panel established by US President Donald Trump in the aftermath of the mass shooting at a Florida school earlier this year has recommended arming school staff. In its report, the panel also suggested hiring military veterans and former police officers who ""can also serve as highly effective educators"".",world,"Trump panel recommends guns in schools to counter shootings. The Federal Commission on School Safety panel established by US President Donald Trump in the aftermath of the mass shooting at a Florida school earlier this year has recommended arming school staff. In its report, the panel also suggested hiring military veterans and former police officers who ""can also serve as highly effective educators"".",trump panel recommend gun school counter shooting federal commission school safety panel establish us president donald trump aftermath mass shooting florida school earlier year recommend arm school staff report panel also suggest hire military veteran former police officer also serve highly effective educator
ISIS not wiped from map in Syria: France on Trump's claim,"Following US President Donald Trump's claim that the Islamic State has been defeated in Syria, France has said that the militant group ""has not been wiped from the map (in Syria) nor has its roots"". France said that its troops will remain in Syria despite the withdrawal of US troops.",world,"ISIS not wiped from map in Syria: France on Trump's claim. Following US President Donald Trump's claim that the Islamic State has been defeated in Syria, France has said that the militant group ""has not been wiped from the map (in Syria) nor has its roots"". France said that its troops will remain in Syria despite the withdrawal of US troops.",isis not wipe map syria france trump claim follow us president donald trump claim islamic state defeat syria france say militant group not wipe map syria root france say troop remain syria despite withdrawal us troop
"Pants fly from cabin & get stuck in helicopter tail, 3 die in crash","Three people onboard a helicopter were killed in New Zealand after a pair of trousers flew from the cabin and got wrapped around the helicopter's tail rotor, resulting in a crash. The cause of the crash that took place in October was revealed in an investigation on Thursday. Paint marks on trousers matched the tail rotor blade's colour.",world,"Pants fly from cabin & get stuck in helicopter tail, 3 die in crash. Three people onboard a helicopter were killed in New Zealand after a pair of trousers flew from the cabin and got wrapped around the helicopter's tail rotor, resulting in a crash. The cause of the crash that took place in October was revealed in an investigation on Thursday. Paint marks on trousers matched the tail rotor blade's colour.",pant fly cabin get stick helicopter tail die crash three people onboard helicopter kill new zealand pair trouser fly cabin get wrap around helicopter tail rotor result crash crash take place october reveal investigation thursday paint mark trouser match tail rotor blade colour
Washington DC sues FB over Cambridge Analytica data scandal,"US capital Washington DC has sued Facebook over the Cambridge Analytica data scandal which had surfaced in March 2018. “Facebook failed to protect the privacy of its users and deceived them,” an official statement read. The lawsuit alleges the social media giant allowed the British firm to exploit data of around 70 million users to influence the 2016 US elections.",world,"Washington DC sues FB over Cambridge Analytica data scandal. US capital Washington DC has sued Facebook over the Cambridge Analytica data scandal which had surfaced in March 2018. “Facebook failed to protect the privacy of its users and deceived them,” an official statement read. The lawsuit alleges the social media giant allowed the British firm to exploit data of around 70 million users to influence the 2016 US elections.",washington dc sue fb cambridge analytica datum scandal us capital washington dc sue facebook cambridge analytica datum scandal surface march facebook fail protect privacy user deceive official statement read lawsuit allege social media giant allow british firm exploit datum around million user influence us election
Pakistan's Punjab lifts 12-yr-old ban on celebrating Basant,"The provincial government of Pakistan's Punjab has lifted a 12-year-old ban on celebrating Basant, announcing the festival will be celebrated in the second week of February 2019. The Punjab government had banned kite-flying in 2007 following a rise in deaths caused by sharp threads used for flying kites. The ban was said to have affected kite businesses and people's livelihoods.",world,"Pakistan's Punjab lifts 12-yr-old ban on celebrating Basant. The provincial government of Pakistan's Punjab has lifted a 12-year-old ban on celebrating Basant, announcing the festival will be celebrated in the second week of February 2019. The Punjab government had banned kite-flying in 2007 following a rise in deaths caused by sharp threads used for flying kites. The ban was said to have affected kite businesses and people's livelihoods.",pakistan punjab lift yr old ban celebrate basant provincial government pakistan punjab lift year old ban celebrate basant announce festival celebrate second week february punjab government ban kite fly follow rise death cause sharp thread use fly kite ban say affect kite business people livelihood
"UK Opp'n leader calls PM 'stupid woman', sparks controversy","UK's Opposition and Labour Party leader Jeremy Corbyn purportedly called Prime Minister Theresa May a ""stupid woman"" during a Parliament debate. However, Corbyn denied it, saying, ""I did not use the words 'stupid woman' about the Prime Minister or anyone else, and am completely opposed to the use of sexist or misogynist language in absolutely any form at all.""",world,"UK Opp'n leader calls PM 'stupid woman', sparks controversy. UK's Opposition and Labour Party leader Jeremy Corbyn purportedly called Prime Minister Theresa May a ""stupid woman"" during a Parliament debate. However, Corbyn denied it, saying, ""I did not use the words 'stupid woman' about the Prime Minister or anyone else, and am completely opposed to the use of sexist or misogynist language in absolutely any form at all.""",uk oppn leader call pm stupid woman spark controversy uks opposition labour party leader jeremy corbyn purportedly call prime minister theresa may stupid woman parliament debate however corbyn deny say not use word stupid woman prime minister anyone else completely opposed use sexist misogynist language absolutely form
"Over 5,000 people killed in Philippine President's drug war","The death toll in the Philippines due to the war on drugs initiated by President Rodrigo Duterte has risen above 5,000. The authorities said that at least 5,050 people have lost their lives since the drug war began after Duterte became the President in 2016. Duterte is being investigated for allegedly committing crimes against humanity in the anti-drugs war.",world,"Over 5,000 people killed in Philippine President's drug war. The death toll in the Philippines due to the war on drugs initiated by President Rodrigo Duterte has risen above 5,000. The authorities said that at least 5,050 people have lost their lives since the drug war began after Duterte became the President in 2016. Duterte is being investigated for allegedly committing crimes against humanity in the anti-drugs war.",people kill philippine president drug war death toll philippine due war drug initiate president rodrigo duterte rise authority say least people lose life since drug war begin duterte become president duterte investigate allegedly commit crime humanity anti drug war
Yemen mom blocked by Trump travel ban gets visa to see dying son,"Yemen's Shaima Swileh has been granted a US visa to meet her dying two-year-old son, the Council on American-Islamic Relations said. Swileh's son Abdullah Hassan, who is currently on life support, has a degenerative brain disorder. Swileh was unable to get a US visa due to the Trump administration's travel ban on citizens from six Muslim-majority countries.",world,"Yemen mom blocked by Trump travel ban gets visa to see dying son. Yemen's Shaima Swileh has been granted a US visa to meet her dying two-year-old son, the Council on American-Islamic Relations said. Swileh's son Abdullah Hassan, who is currently on life support, has a degenerative brain disorder. Swileh was unable to get a US visa due to the Trump administration's travel ban on citizens from six Muslim-majority countries.",yemen mom block trump travel ban get visa see die son yemen shaima swileh grant us visa meet die two year old son council american islamic relation say swilehs son abdullah hassan currently life support degenerative brain disorder swileh unable get us visa due trump administration travel ban citizen six muslim majority country
"Our presence in Syria was to defeat ISIS, not end civil war: US",The White House has said that the US troops were stationed in Syria to defeat the Islamic State militant group and not to help end the 7-year civil war in the country. US President Donald Trump on Wednesday ordered the withdrawal of American troops from Syria after claiming that the Islamic State militant group has been defeated.,world,"Our presence in Syria was to defeat ISIS, not end civil war: US. The White House has said that the US troops were stationed in Syria to defeat the Islamic State militant group and not to help end the 7-year civil war in the country. US President Donald Trump on Wednesday ordered the withdrawal of American troops from Syria after claiming that the Islamic State militant group has been defeated.",presence syria defeat isis not end civil war us white house say us troop station syria defeat islamic state militant group not help end year civil war country us president donald trump wednesday order withdrawal american troop syria claim islamic state militant group defeat
Russia praises US decision to withdraw its troops from Syria,"Russia has praised US President Donald Trump's decision to pull out the American troops from Syria, saying the move ""creates good prospects for a political solution"" in the war-torn country. Russia's Foreign Ministry said that the move will also help resolve tensions in refugee camps on a territory largely controlled by the US, where terrorists were hiding among the refugees.",world,"Russia praises US decision to withdraw its troops from Syria. Russia has praised US President Donald Trump's decision to pull out the American troops from Syria, saying the move ""creates good prospects for a political solution"" in the war-torn country. Russia's Foreign Ministry said that the move will also help resolve tensions in refugee camps on a territory largely controlled by the US, where terrorists were hiding among the refugees.",russia praise us decision withdraw troop syria russia praise us president donald trump decision pull american troop syria say move create good prospect political solution war tear country russia foreign ministry say move also help resolve tension refugee camp territory largely control us terrorist hide among refugee
